Nom de film,URL de Dbpedia,URL de Wikipedia
['Brides'],http://dbpedia.org/resource/Brides_(2014_film),<http://www.wikidata.org/entity/Q15728366>
['Winter Sleep'],http://dbpedia.org/resource/Winter_Sleep_(film),<http://www.wikidata.org/entity/Q15921329>
['Mon âme par toi guérie'],http://dbpedia.org/resource/One_of_a_Kind_(film),<http://www.wikidata.org/entity/Q15703567>
"['Deux jours, une nuit']","http://dbpedia.org/resource/Two_Days,_One_Night",<http://www.wikidata.org/entity/Q15921236>
"[""L'Attrape-rêves""]",http://dbpedia.org/resource/Aloft_(film),<http://www.wikidata.org/entity/Q15622628>
['Amours cannibales'],http://dbpedia.org/resource/Cannibal_(2013_film),<http://www.wikidata.org/entity/Q15725568>
['Q16252239'],vide,<http://www.wikidata.org/entity/Q16252239>
['Métamorphoses'],http://dbpedia.org/resource/Métamorphoses_(2014_film),<http://www.wikidata.org/entity/Q16335942>
['Eden'],http://dbpedia.org/resource/Eden_(2014_film),<http://www.wikidata.org/entity/Q16219562>
['Bastardo'],http://dbpedia.org/resource/Bastardo_(film),<http://www.wikidata.org/entity/Q16208688>
['Deux fenêtres'],http://dbpedia.org/resource/Still_the_Water,<http://www.wikidata.org/entity/Q16395236>
['Cours sans te retourner'],http://dbpedia.org/resource/Run_Boy_Run_(film),<http://www.wikidata.org/entity/Q16494458>
['Barbecue'],http://dbpedia.org/resource/Barbecue_(film),<http://www.wikidata.org/entity/Q16531377>
['Cinéast(e)s'],http://dbpedia.org/resource/Cinéast(e)s,<http://www.wikidata.org/entity/Q16147964>
['The Search'],http://dbpedia.org/resource/The_Search_(2014_film),<http://www.wikidata.org/entity/Q16320113>
['Aux yeux des vivants'],http://dbpedia.org/resource/Among_the_Living_(2014_film),<http://www.wikidata.org/entity/Q16242863>
['Jacky au royaume des filles'],http://dbpedia.org/resource/Jacky_in_Women's_Kingdom,<http://www.wikidata.org/entity/Q16325320>
['3 cœurs'],http://dbpedia.org/resource/Three_Hearts_(film),<http://www.wikidata.org/entity/Q16335945>
['Boys like us'],vide,<http://www.wikidata.org/entity/Q16533832>
['Brèves de comptoir'],http://dbpedia.org/resource/Brèves_de_comptoir,<http://www.wikidata.org/entity/Q16534305>
['Calomnies'],vide,<http://www.wikidata.org/entity/Q16535180>
['À coup sûr'],vide,<http://www.wikidata.org/entity/Q16303504>
['Ablations'],http://dbpedia.org/resource/Ablations,<http://www.wikidata.org/entity/Q16303521>
"[""Afrik'aïoli""]",vide,<http://www.wikidata.org/entity/Q16303546>
['Babysitting'],http://dbpedia.org/resource/Babysitting_(film),<http://www.wikidata.org/entity/Q16530861>
['La French'],http://dbpedia.org/resource/The_Connection_(2014_film),<http://www.wikidata.org/entity/Q16314359>
['Les souvenirs'],http://dbpedia.org/resource/Memories_(2014_film),<http://www.wikidata.org/entity/Q16317138>
['Atlantic avenue'],vide,<http://www.wikidata.org/entity/Q16529303>
['Biette'],vide,<http://www.wikidata.org/entity/Q16322522>
"[""Artémis, cœur d'artichaut""]","http://dbpedia.org/resource/Artémis,_cœur_d'artichaut",<http://www.wikidata.org/entity/Q16303878>
['Still Alice'],http://dbpedia.org/resource/Still_Alice,<http://www.wikidata.org/entity/Q16354843>
['Avis de mistral'],http://dbpedia.org/resource/My_Summer_in_Provence,<http://www.wikidata.org/entity/Q16529759>
"['2 temps, 3 mouvements']",vide,<http://www.wikidata.org/entity/Q16303444>
['Conversation animée avec Noam Chomsky'],http://dbpedia.org/resource/Is_the_Man_Who_Is_Tall_Happy%3F,<http://www.wikidata.org/entity/Q16386403>
['Divin Enfant'],http://dbpedia.org/resource/Divin_Enfant,<http://www.wikidata.org/entity/Q16325252>
['14 Millions de cris'],vide,<http://www.wikidata.org/entity/Q16509895>
['Circles'],http://dbpedia.org/resource/Circles_(film),<http://www.wikidata.org/entity/Q12754266>
['Suzanne'],http://dbpedia.org/resource/Suzanne_(2013_film),<http://www.wikidata.org/entity/Q13553881>
['Intersections'],http://dbpedia.org/resource/Collision_(2013_film),<http://www.wikidata.org/entity/Q13383501>
['Home Sweet Home'],vide,<http://www.wikidata.org/entity/Q13460552>
['Q14936719'],http://dbpedia.org/resource/Paradjanov_(film),<http://www.wikidata.org/entity/Q14936719>
['A Strange Course of Events'],http://dbpedia.org/resource/A_Strange_Course_of_Events,<http://www.wikidata.org/entity/Q13380384>
['The Lunchbox'],http://dbpedia.org/resource/The_Lunchbox,<http://www.wikidata.org/entity/Q13423399>
['Tonnerre'],http://dbpedia.org/resource/Tonnerre_(film),<http://www.wikidata.org/entity/Q14863090>
['Gunman'],http://dbpedia.org/resource/The_Gunman_(2015_film),<http://www.wikidata.org/entity/Q13823993>
['Maps to the Stars'],http://dbpedia.org/resource/Maps_to_the_Stars,<http://www.wikidata.org/entity/Q14369911>
['Magic in the Moonlight'],http://dbpedia.org/resource/Magic_in_the_Moonlight,<http://www.wikidata.org/entity/Q14511869>
['Sils Maria'],http://dbpedia.org/resource/Clouds_of_Sils_Maria,<http://www.wikidata.org/entity/Q14775069>
['Fonzy'],http://dbpedia.org/resource/Fonzy,<http://www.wikidata.org/entity/Q14901506>
['Le casse des casses'],vide,<http://www.wikidata.org/entity/Q14901498>
"[""Eka et Natia, Chronique d'une jeunesse géorgienne""]",http://dbpedia.org/resource/In_Bloom_(film),<http://www.wikidata.org/entity/Q12863443>
"[""L'Inconnu du lac""]",http://dbpedia.org/resource/Stranger_by_the_Lake,<http://www.wikidata.org/entity/Q12902822>
"[""Quai d'Orsay""]",http://dbpedia.org/resource/The_French_Minister,<http://www.wikidata.org/entity/Q14549501>
